seed,companyId,turn,period,startCashUsd,startShortTermLoansUsd,startLongTermLoansUsd,startAvailableAdditionalCapacityUsd,startCreditTier,startCreditScore0to100,startFinancialHealthTier,startPaymentDefault,startUnderwritingFrozen,startRawMaterialInventoryHosoEqTons,startFinishedGoodsInventoryHosoEqTons,startSalesForceHeadcountTotal,startSalesEffortCapacityHosoEqTonsReference,netRevenueUsd,grossProfitUsd,operatingProfitUsd,netIncomeUsd,closingCashUsd,endingShortTermLoansUsd,endingLongTermLoansUsd,endingAvailableAdditionalCapacityUsd,salesEffortCapacityHosoEqTonsActual,salesEffortUsedHosoEqTons,salesEffortUtilizationRate,salesReductionFromEffortConstraintHosoEqTons,rawMaterialInventoryHosoEqTons,finishedGoodsInventoryHosoEqTons,discardQuantityHosoEqTons,paymentDefault,paymentDefaultNewlyTriggered,underwritingFrozen,underwritingFrozenNewlyTriggered,warningCount
sai3a-sample-001,BAL,1,2015Q1,20000000,24000000,33000000,NaN,unscored,NaN,healthy,false,false,3200,0,80,4466.67,42496977.96637423,1903566.4663742334,-414673.53362576663,-414673.53362576663,36389348.5,24000000,31350000,0,14440,14439.987999999998,0.9999991689750691,9228.54,0,0,57.6,false,false,false,false,7
sai3a-sample-001,BAL,2,2015Q2,36389348.5,24000000,31350000,0,B,75.26510067114094,healthy,false,false,0,0,80,4466.67,61356379.11384716,13945475.737398647,11253728.737398647,8006682.989918917,10775095.342446,24000000,29700000,0,14440,14439.987999999998,0.9999991689750691,9228.54,0,0,101.29,false,false,false,false,7
