# Dynamic Scenario 1 benchmark — scenario=baseline seed=ds1-benchmark lifecycle=ON completed=32/32

## A. 市場別 構造需要 vs 実現対象需要（HOSO換算トン、比=実現/構造）
turn	CN_構造	CN_実現	CN_比	US_構造	US_実現	US_比	EU_構造	EU_実現	EU_比	JP_構造	JP_実現	JP_比	OTHER_構造	OTHER_実現	OTHER_比
1	380000	67553	0.178	320000	41463	0.130	260000	32750	0.126	90000	13072	0.145	150000	20050	0.134
8	432600	99203	0.229	345050	81591	0.236	272950	24276	0.089	98880	8555	0.087	160680	22296	0.139
16	586560	136034	0.232	395200	88908	0.225	301600	7207	0.024	108160	2221	0.021	171600	10857	0.063
20	374400	150334	0.402	300300	87034	0.290	228540	3797	0.017	81900	1066	0.013	218300	7349	0.034
24	728000	153620	0.211	448000	80412	0.179	336000	2226	0.007	118720	557	0.005	244070	4981	0.020
28	665998	171836	0.258	432600	77149	0.178	321360	1162	0.004	113300	257	0.002	206000	3494	0.017
32	672000	184757	0.275	440000	73727	0.168	325000	682	0.002	115000	136	0.001	210000	2537	0.012

## B. 追跡対象セル（構造 / 実現）
指標	系列	T1	T8	T16	T20	T24	T28	T32
Japan total	構造	90000	98880	108160	81900	118720	113300	115000
Japan total	実現	13072	8555	2221	1066	557	257	136
Japan VAP	構造	9000	11170	33990	26208	37990	36256	36800
Japan VAP	実現	1307	2619	659	315	165	76	40
Others PD	構造	30000	34386	39468	74427	87865	74160	75600
Others PD	実現	4411	5199	3015	2205	1502	1056	769
Others VAP	構造	4500	5945	7722	45877	58577	49440	50400
Others VAP	実現	601	1001	879	889	690	482	347
China HOSO	構造	357960	404481	543741	345571	669032	534580	386455
China HOSO	実現	58771	84915	114376	115283	105940	109069	110906
China PD	構造	19000	23144	33727	22277	44772	92128	194829
China PD	実現	8106	12540	19288	32220	44268	51719	55830
China VAP	構造	3040	4975	9092	6552	14196	39290	90716
China VAP	実現	676	1747	2371	2831	3412	11048	18021

## C. 市場ウェイト（実現対象需要の構成比、%）
turn	CN	US	EU	JP	OTHER
1	38.6	23.7	18.7	7.5	11.5
8	42.0	34.6	10.3	3.6	9.5
16	55.5	36.3	2.9	0.9	4.4
20	60.2	34.9	1.5	0.4	2.9
24	63.5	33.3	0.9	0.2	2.1
28	67.7	30.4	0.5	0.1	1.4
32	70.6	28.2	0.3	0.1	1.0

## D. Crowding 診断（市場×商品）
turn	mkt	prod	構造需要	対象需要	5社提示	5社成約	外部供給	供給/需要	実現価格	5社シェア%	最大社/5社%	成約社数	未充足提示
7	BAL	18420	4.700	18420	0	11750	2.419	2807	5886	10178	5815	2519	3776	0	0.728	0.993	0.033	10259891	34075722	56500868	73.9	60.4
7	MASS	0	0.000	14421	433	12294	2.419	2801	0	9316	4417	1215	527	1364	0.589	1.000	0.000	6211362	0	50049496	73.6	60.9
7	JPQ	15888	4.800	15888	0	11321	2.419	2262	2609	6786	6786	2799	3594	0	0.643	1.000	0.011	9854686	22366418	41837578	71.6	60.2
7	VAP	13361	4.830	13570	0	8808	2.419	2177	2546	5334	3644	4350	1837	0	0.532	1.000	0.000	4703199	11678872	40880346	73.0	61.2
7	CONSV	14650	4.770	14650	0	7562	2.419	2155	5261	6133	5406	2525	3132	0	0.553	1.000	0.022	7986043	27663692	20218831	73.6	61.4
8	BAL	18444	4.760	18444	0	11808	2.404	2832	8570	7604	4971	3652	1559	0	0.669	1.000	0.054	6280929	35728025	51606397	73.0	60.1
8	MASS	13791	4.710	8432	5792	0	2.404	2750	0	7905	0	0	0	9685	0.310	1.000	0.000	-9384136	16772569	42902731	73.6	60.9
8	JPQ	16045	4.880	16045	0	11049	2.404	2424	5350	6183	6065	3546	3342	0	0.621	1.000	0.035	9772013	26338075	45196487	71.3	61.7
8	VAP	14830	4.900	14830	0	9933	2.404	1938	4786	6025	4382	4291	1705	0	0.578	1.000	0.044	6996886	17694795	51727975	72.3	62.6
8	CONSV	14871	4.840	14871	0	8423	2.404	2153	6962	5922	4601	2689	1473	0	0.549	1.000	0.050	4521150	31722172	19671581	69.2	62.0
9	BAL	18845	4.830	18845	0	10877	2.415	2922	8277	9515	5598	4011	1838	0	0.752	1.000	0.026	12185786	26193724	35728212	72.3	61.3
9	MASS	0	0.000	4877	916	4713	2.415	2469	0	2571	3038	1517	2250	1377	0.280	1.000	0.000	789736	3612040	29250000	73.1	62.0
9	JPQ	16445	4.960	16445	0	9649	2.415	2508	5779	6534	6480	3773	3684	0	0.660	1.000	0.016	11430915	27152867	41743962	71.0	63.1
9	VAP	15383	5.000	15383	0	8752	2.415	2105	4934	6517	4859	4122	1820	0	0.609	1.000	0.015	10469461	25349569	56442320	71.8	63.9
9	CONSV	15103	4.910	14790	313	7503	2.415	2258	7847	5922	5065	2961	631	0	0.549	1.000	0.050	8632742	32407938	13579122	69.2	63.2
10	BAL	18853	4.930	18853	0	10900	2.452	3013	7083	10104	5900	4136	3125	0	0.792	1.000	0.011	14456548	14082077	15128418	71.9	62.7
10	MASS	13003	4.490	9116	4802	1496	2.452	2645	0	1307	4430	2673	1543	5695	0.330	0.961	0.038	-4462605	-5086110	32158125	72.9	61.7
10	JPQ	17393	5.060	17393	0	9706	2.452	2641	6507	6404	6326	3947	2968	0	0.656	1.000	0.024	13597823	12901714	21399548	70.9	64.4
10	VAP	15433	5.110	15433	0	8651	2.452	2526	5667	6480	4827	4210	1903	0	0.610	1.000	0.018	11561875	11425406	36405022	71.5	65.2
10	CONSV	15561	5.010	15642	232	7015	2.452	2437	7356	6053	5932	3027	0	0	0.590	1.000	0.022	11577830	39060875	13179122	69.2	64.5
11	BAL	19066	5.060	19066	0	11067	2.491	3078	6386	10180	5387	3768	3393	0	0.781	1.000	0.000	14409769	36444099	26682839	66.8	62.9
11	MASS	0	0.000	4163	639	1484	2.491	1284	0	4163	0	0	1543	2007	0.164	1.000	0.000	-10064618	13089629	33547110	72.9	62.9
11	JPQ	17629	5.190	17629	0	9288	2.491	2644	6808	6421	6346	3924	2031	0	0.656	1.000	0.023	15838788	31770380	27397535	70.7	65.6
11	VAP	15714	5.260	15714	0	8463	2.491	2447	6110	6432	4786	4319	1726	0	0.611	1.000	0.020	13627494	32725205	49916248	71.3	66.4
11	CONSV	15674	5.130	15144	762	7261	2.491	2437	6979	6400	5544	3200	0	0	0.596	1.000	0.022	12144690	40276665	3600000	69.3	65.7
12	BAL	19004	5.060	19004	0	11437	2.485	3066	6043	10197	5948	3777	4313	0	0.781	1.000	0.000	16049785	47196618	25182839	67.3	64.2
12	MASS	12971	4.790	9936	3675	5255	2.485	2124	0	7821	1148	827	1403	3697	0.384	0.957	0.015	-2759978	-3099114	39586420	73.0	62.6
12	JPQ	17575	5.200	17374	201	9206	2.485	2688	7094	6391	6310	3966	1324	0	0.655	1.000	0.025	14700629	41368168	22038627	70.6	66.8
12	VAP	15681	5.270	15681	0	8538	2.485	2466	6597	6347	4715	4521	1627	0	0.613	1.000	0.026	12749843	29163997	36068619	71.0	67.5
12	CONSV	15641	5.130	15174	1229	7449	2.485	2437	6790	6413	5554	3207	0	0	0.596	1.000	0.022	12313788	39519476	3200000	69.5	66.9
13	BAL	19182	5.210	19182	0	11685	2.544	3006	5830	10213	5957	3841	5142	0	0.784	1.000	0.000	18811486	46573551	23682839	67.9	65.5
13	MASS	0	0.000	3675	0	0	2.544	930	0	0	2253	1596	1578	1816	0.151	1.000	0.000	-5993659	7823455	34428295	72.3	62.9
13	JPQ	17776	5.360	17283	694	9062	2.544	2682	7252	6085	6781	3777	684	0	0.654	1.000	0.025	17037782	43691518	20966350	70.4	67.9
13	VAP	15931	5.450	15852	79	8377	2.544	2489	6929	6321	4693	4586	1375	0	0.613	1.000	0.028	15201389	28973813	26262699	70.8	68.6
13	CONSV	15732	5.280	15200	1761	7544	2.544	2437	6696	6424	5564	3212	0	0	0.596	1.000	0.022	14083432	45878745	2800000	69.9	68.2
14	BAL	20349	5.230	20349	0	12226	2.547	3007	6008	10069	5885	4205	4951	0	0.790	1.000	0.013	20108736	54885557	22054421	68.5	66.9
14	MASS	0	0.000	0	0	117	2.547	2033	978	0	684	480	2742	0	0.046	1.000	0.000	-3120105	7382705	26138985	72.1	62.9
14	JPQ	17807	5.390	17753	747	8980	2.547	2693	6909	6780	6783	3506	0	0	0.671	1.000	0.025	17386477	57805274	19966350	70.3	68.9
14	VAP	15971	5.490	15826	224	8320	2.547	2533	7538	5892	5085	4334	860	0	0.602	1.000	0.030	15019116	40222223	24011227	70.5	69.6
14	CONSV	18400	5.150	16904	3257	11182	2.547	2437	8516	8707	5178	3019	0	0	0.663	1.000	0.051	15089002	45394199	2400000	70.2	69.3
15	BAL	22343	5.040	22343	0	15650	2.506	3016	7213	12814	5700	4027	5149	0	0.883	1.000	0.034	19367745	47665330	7500000	69.0	68.1
15	MASS	13026	4.500	8044	4982	2898	2.506	855	0	3386	1783	133	0	4289	0.208	0.836	0.161	-12279929	-8536246	29597055	72.3	62.6
15	JPQ	19944	5.150	18065	2627	12742	2.506	2693	9306	8564	5804	3697	0	0	0.711	1.000	0.058	14526489	51463215	5000000	70.1	69.9
15	VAP	15890	5.400	15722	392	8008	2.506	2547	7975	6778	4203	4203	322	0	0.597	1.000	0.030	12827971	38485175	7500000	70.4	70.5
15	CONSV	18661	5.070	18851	3068	10458	2.506	2437	7664	9642	5946	3263	0	0	0.739	1.000	0.024	17219482	50768881	2000000	70.6	70.3
16	BAL	22392	5.210	22392	0	14757	2.605	3078	6507	13616	5957	4058	6387	0	0.926	0.997	0.014	24062182	50370164	6000000	69.4	69.2
16	MASS	0	0.000	3985	997	0	2.605	176	0	2233	1027	766	41	2457	0.158	0.923	0.061	-5795892	0	31678233	72.5	63.6
16	JPQ	19993	5.330	20451	2169	11416	2.605	2693	7984	9790	6553	4107	0	0	0.804	1.000	0.025	21912817	55391621	4000000	70.0	70.8
16	VAP	15962	5.590	15629	725	7785	2.605	2565	8081	5891	5083	4334	0	0	0.602	1.000	0.030	16385309	48456624	6000000	70.2	71.3
16	CONSV	18680	5.240	19800	1948	10745	2.605	2950	6662	10172	6234	3394	0	0	0.776	1.000	0.011	20480918	53679534	1600000	70.9	71.4
17	BAL	22674	5.160	22674	0	15088	2.553	3582	6542	13620	6096	4014	7443	0	0.929	0.996	0.007	22639529	64283872	4500000	69.9	70.3
17	MASS	0	0.000	997	0	0	2.553	1599	0	671	0	916	632	766	0.062	1.000	0.000	-5022777	809236	25970163	72.5	63.7
17	JPQ	20274	5.280	21431	1012	12263	2.553	3206	6979	10176	7080	4240	65	0	0.845	1.000	0.013	21947383	62536838	3000000	70.1	71.6
17	VAP	15970	5.550	15618	1077	7732	2.553	2565	7822	6288	4665	4664	0	0	0.614	1.000	0.030	15477412	61844344	4500000	70.1	72.1
17	CONSV	18680	5.190	19715	913	11234	2.553	2995	6195	10174	6234	3395	88	0	0.776	1.000	0.011	19724270	69962811	1200000	71.2	72.3
18	BAL	25880	5.100	25880	0	16978	2.580	3561	6630	16014	5692	3819	7088	0	1.000	0.975	0.014	25523932	70729719	3000000	70.3	71.4
18	MASS	0	0.000	0	0	32	2.580	1026	739	0	0	316	948	0	0.012	1.000	0.000	-2287323	0	25908604	72.5	63.7
18	JPQ	20280	5.310	21107	185	12754	2.580	3206	6465	10179	7083	4241	461	0	0.845	1.000	0.006	21829935	78269238	2000000	70.1	72.4
18	VAP	16000	5.590	15621	1456	7862	2.580	2565	7692	6289	4666	4666	0	0	0.614	1.000	0.030	16404046	74903749	3000000	70.0	72.9
18	CONSV	21594	5.130	22026	481	15283	2.580	2995	6887	13603	6252	2807	725	0	0.888	1.000	0.041	21861341	70444214	800000	71.5	73.2
19	BAL	25880	5.150	25880	0	16862	2.615	3575	6617	16043	5633	3856	6740	0	1.000	0.987	0.007	26607023	90049258	1500000	70.7	72.3
19	MASS	0	0.000	0	0	0	2.615	355	1255	0	0	0	948	0	0.000	0.000	0.000	-6209625	-1992950	28134209	72.5	63.7
19	JPQ	22064	5.250	22249	0	16591	2.615	3251	6882	13553	6778	4075	2617	0	0.960	1.000	0.033	23163326	79992919	1000000	70.1	73.2
19	VAP	16260	5.640	15765	1951	8241	2.615	2565	7794	6244	4893	4628	0	0	0.620	1.000	0.033	16953617	86829738	1500000	69.9	73.6
19	CONSV	21594	5.180	21935	141	14801	2.615	2995	6647	13254	6254	3615	1912	0	0.906	1.000	0.018	23221084	71611804	400000	71.7	74.1
20	BAL	25864	5.150	25864	0	16800	2.604	3848	6815	15818	5767	3950	6411	0	1.000	1.000	0.000	25728005	110840391	0	71.0	73.2
20	MASS	0	0.000	0	0	0	2.604	48	1303	0	0	0	948	0	0.000	0.000	0.000	-5925625	-2564897	30772262	72.5	63.7
20	JPQ	22053	5.250	22053	0	16254	2.604	3251	6493	13571	7081	4240	5456	0	0.978	1.000	0.015	22979469	78085818	0	70.1	73.9
20	VAP	16243	5.650	16700	1494	8179	2.604	2565	6896	6583	5201	4916	0	0	0.657	1.000	0.015	18850381	99321161	0	70.0	74.3
20	CONSV	21626	5.180	21766	0	15099	2.604	3540	6588	13616	6553	3617	3931	0	0.932	1.000	0.010	23038127	82854730	0	72.0	74.9
21	BAL	25880	5.150	25880	0	16701	2.595	3848	6914	15786	5802	3947	6065	0	1.000	1.000	0.000	25771349	133611889	0	71.3	74.1
21	MASS	0	0.000	0	0	0	2.595	0	1303	0	0	0	907	0	0.000	0.000	0.000	-5996826	-2952853	33452307	72.5	63.7
21	JPQ	23480	5.250	23480	0	16320	2.595	3764	6683	13572	7083	4241	6872	0	0.978	1.000	0.007	24064875	85526883	0	70.2	74.6
21	VAP	16272	5.660	16703	1062	8616	2.595	2610	6481	6585	5202	4917	0	0	0.657	1.000	0.015	19059478	106838001	0	70.0	75.0
21	CONSV	22366	5.100	22366	0	16957	2.595	3540	6635	15602	6393	3529	7088	0	1.000	0.967	0.019	21788822	88163648	0	72.2	75.6
22	BAL	27125	5.230	27125	0	16652	2.644	3848	6963	15786	5802	3947	4475	0	1.000	1.000	0.000	28642457	154149209	0	71.7	74.9
22	MASS	0	0.000	0	0	0	2.644	0	1303	0	0	0	316	0	0.000	0.000	0.000	-10109102	-3301788	36100371	72.5	63.7
22	JPQ	25037	5.230	25037	0	16809	2.644	3764	6806	15104	6705	3639	7283	0	1.000	1.000	0.000	25133023	98456829	0	70.2	75.2
22	VAP	16280	5.740	16703	639	8824	2.644	2610	6273	6585	5202	4917	0	0	0.657	1.000	0.015	20114704	120438040	0	70.0	75.6
22	CONSV	25560	5.170	25560	0	16857	2.644	3585	6627	14576	5985	3426	5515	0	1.000	0.984	0.008	20896544	93391726	0	72.4	72.8
23	BAL	27424	5.250	27424	0	16627	2.665	3848	6988	15786	5802	3947	2586	0	0.977	1.000	0.000	29178542	180106881	0	71.9	75.7
23	MASS	0	0.000	0	0	0	2.665	0	1303	0	0	0	0	0	0.000	0.000	0.000	-11778709	-4275195	38088964	72.5	63.7
23	JPQ	27054	5.280	27054	0	16726	2.665	3764	6847	15296	6420	3736	5681	0	1.000	1.000	0.000	28370021	116077551	0	70.3	75.8
23	VAP	19312	5.570	17980	1971	12519	2.665	2610	8450	8765	4736	4480	0	0	0.708	1.000	0.052	19615441	125309560	0	69.9	76.1
23	CONSV	25560	5.200	25560	0	16795	2.665	3848	6820	16104	6009	3422	5490	0	1.000	1.000	0.000	26753602	115372336	0	72.6	73.2
24	BAL	27412	5.130	27412	0	16615	2.572	3848	7000	15786	5802	3947	708	0	0.977	1.000	0.000	26358156	211257250	0	72.2	76.4
24	MASS	0	0.000	0	0	0	2.572	0	1303	0	0	0	0	0	0.000	0.000	0.000	-5659625	-6145764	39162395	72.5	63.7
24	JPQ	27140	5.160	27140	0	16685	2.572	3848	6930	14994	6522	3936	3993	0	1.000	1.000	0.000	25332232	147272091	0	70.3	76.4
24	VAP	19301	5.440	19849	1423	11302	2.572	2610	7541	9750	5192	4907	0	0	0.780	1.000	0.023	21358194	136847490	0	69.9	76.6
24	CONSV	25756	5.100	25756	0	16699	2.572	3848	6916	15882	6074	3573	5264	0	1.000	0.981	0.010	24289744	140180091	0	72.8	74.1
25	BAL	27421	5.200	26243	1178	16609	2.629	3848	7006	15786	5802	3947	0	0	0.977	1.000	0.000	27572514	239849511	0	72.4	77.1
25	MASS	0	0.000	0	0	0	2.629	0	1303	0	0	0	0	0	0.000	0.000	0.000	-5650625	-8007334	40235825	72.5	63.7
25	JPQ	27149	5.230	27149	0	16644	2.629	3848	6971	14994	6522	3936	2297	0	1.000	1.000	0.000	27579826	174391221	0	70.4	77.0
25	VAP	19376	5.520	20799	0	11942	2.629	3123	6688	10176	5681	5088	146	0	0.823	1.000	0.012	24011714	145243528	0	69.9	77.2
25	CONSV	25760	5.170	25760	0	16651	2.629	3848	6964	15857	6105	3568	5033	0	1.000	0.981	0.010	26394918	161728937	0	73.0	74.9
26	BAL	27718	5.230	25534	3362	16606	2.638	3848	7009	15617	6012	3904	0	0	0.977	1.000	0.000	26047541	260739071	0	72.6	77.7
26	MASS	0	0.000	0	0	0	2.638	0	1303	0	0	0	0	0	0.000	0.000	0.000	-5646625	-9864904	41309256	72.5	63.7
26	JPQ	27149	5.250	27149	0	16623	2.638	3848	6992	14994	6522	3936	600	0	1.000	1.000	0.000	27398926	205069145	0	70.4	77.5
26	VAP	19379	5.550	19379	0	12358	2.638	3123	6250	10179	5683	5089	1719	0	0.823	1.000	0.006	22101308	165866662	0	70.0	77.6
26	CONSV	25760	5.190	25760	0	16627	2.638	3848	6988	15857	6105	3568	4803	0	1.000	0.981	0.010	26740954	185560911	0	73.2	75.7
27	BAL	27720	5.450	24958	6124	16604	2.799	3848	7011	15617	5436	3904	0	0	0.955	1.000	0.000	26748444	274798426	0	71.2	77.8
27	MASS	0	0.000	0	0	0	2.799	0	1303	0	0	0	0	0	0.000	0.000	0.000	-5644625	-11720473	42382686	72.5	63.7
27	JPQ	27151	5.470	26052	1099	16613	2.799	3848	7002	14994	6522	3936	0	0	0.977	1.000	0.000	30460505	231619032	0	70.5	78.0
27	VAP	20367	5.650	20367	0	16381	2.799	3168	7106	13014	5516	5148	5031	0	0.931	1.000	0.039	25752759	161397774	0	70.0	78.1
27	CONSV	25758	5.410	25758	0	16615	2.799	3848	7000	15857	6105	3568	4574	0	1.000	0.981	0.010	30653465	205956275	0	73.3	76.4
28	BAL	27935	5.510	25553	8507	16603	2.805	3848	7012	15510	5971	4071	0	0	0.955	0.981	0.011	29997722	288483601	0	71.6	78.4
28	MASS	0	0.000	0	0	0	2.805	0	1303	0	0	0	0	0	0.000	0.000	0.000	-5643625	-13575043	43456116	72.5	63.7
28	JPQ	27746	5.520	25453	3392	16608	2.805	3848	7007	14994	6522	3936	0	0	0.977	1.000	0.000	29271747	257618379	0	70.5	78.4
28	VAP	23145	5.710	23145	0	15817	2.805	3168	6538	12312	5682	5300	5180	0	0.965	1.000	0.018	25069512	153986947	0	70.0	77.3
28	CONSV	25760	5.450	25760	0	16609	2.805	3848	7006	15857	6105	3568	4344	0	1.000	0.981	0.010	30418806	231542264	0	73.4	77.0
29	BAL	28882	5.430	25553	11836	16603	2.741	3848	7012	15510	5971	4071	0	0	0.955	0.981	0.011	29005123	316671212	0	72.0	79.0
29	MASS	0	0.000	0	0	0	2.741	0	1303	0	0	0	0	0	0.000	0.000	0.000	-5642625	-15428612	44529547	72.5	63.7
29	JPQ	28307	5.430	25453	6246	16605	2.741	3848	7010	14994	6522	3936	0	0	0.977	1.000	0.000	27633275	283214623	0	70.5	78.8
29	VAP	23147	5.620	23147	0	15920	2.741	3713	6661	13571	5683	5259	6545	0	0.963	0.998	0.017	27214670	172728624	0	70.0	77.6
29	CONSV	25760	5.370	25760	0	16606	2.741	3848	7009	15857	6105	3568	4113	0	1.000	0.981	0.010	28065754	259760779	0	73.5	77.7
30	BAL	29566	5.760	30633	10769	25580	2.919	3848	10826	17513	7724	5395	0	0	0.874	1.000	0.037	38269771	304935429	0	72.1	79.5
30	MASS	0	0.000	0	0	0	2.919	0	1303	0	0	0	0	0	0.000	0.000	0.000	-5642625	-17282182	45602977	72.5	63.7
30	JPQ	28790	5.650	25453	9584	16604	2.919	3848	7011	14994	6522	3936	0	0	0.977	1.000	0.000	30135140	304437412	0	70.6	79.2
30	VAP	26640	5.730	26640	0	16847	2.919	3713	6771	15635	5218	4588	5347	0	1.000	0.981	0.010	34059419	182016012	0	70.1	78.1
30	CONSV	25760	5.580	25760	0	16604	2.919	3848	7011	15857	5520	3568	3298	0	1.000	0.981	0.010	30729927	282029934	0	67.5	75.2
31	BAL	29208	5.820	34619	5359	27841	2.921	3848	12867	19148	9057	6415	0	0	0.864	1.000	0.029	48518171	307974466	0	72.1	79.9
31	MASS	0	0.000	0	0	0	2.921	0	1303	0	0	0	0	0	0.000	0.000	0.000	-5642625	-19135752	46676408	72.5	63.7
31	JPQ	28790	5.680	25453	12921	16603	2.921	3848	7012	14994	6522	3936	0	0	0.955	1.000	0.000	30367647	328248556	0	70.6	79.6
31	VAP	26640	5.750	26640	0	16759	2.921	3707	6786	15396	5371	4677	4151	0	1.000	0.981	0.011	32673742	214537264	0	70.1	78.5
31	CONSV	25760	5.610	25760	0	16603	2.921	3848	7012	15857	6105	3568	3067	0	1.000	0.981	0.010	30918472	308938081	0	68.1	75.5
32	BAL	28931	5.730	34290	0	30829	2.846	5130	15007	20944	10629	7188	4472	0	0.862	1.000	0.024	44780074	325638488	0	72.0	80.3
32	MASS	0	0.000	0	0	0	2.846	0	1303	0	0	0	0	0	0.000	0.000	0.000	-5642625	-20989321	47749838	72.5	63.7
32	JPQ	28790	5.560	25453	16258	16603	2.846	3848	7012	14994	6522	3936	0	0	0.955	1.000	0.000	29332914	354157996	0	70.6	80.0
32	VAP	26640	5.630	26640	0	16716	2.846	3848	6899	15310	5396	4784	3001	0	1.000	0.981	0.011	29878933	249700598	0	70.3	79.0
32	CONSV	25760	5.490	25760	0	16603	2.846	3848	7012	15857	6105	3568	2837	0	1.000	0.981	0.010	28237538	338186071	0	68.7	76.3

## I. 局面別 会社別サマリー
局面	company	営業利益計	成約量計	生産量計	国内買付計	輸入到着計	国内比率	平均設備稼働率	期末現金	期末受注残
T1-4 序盤成長	BAL	20,278,889	54,863	61,541	42,353	4,886	89.7%	0.606	13,796,403	0
T1-4 序盤成長	MASS	3,295,109	59,849	55,880	34,266	5,536	86.1%	0.549	29,414,500	7,569
T1-4 序盤成長	JPQ	18,290,354	48,710	54,621	37,249	5,240	87.7%	0.542	21,481,248	0
T1-4 序盤成長	VAP	9,166,660	43,485	46,126	28,495	4,667	85.9%	0.453	16,066,349	713
T1-4 序盤成長	CONSV	26,557,625	54,153	59,011	40,946	4,752	89.6%	0.580	17,790,356	0
T7-9 原料ショック	BAL	28,726,606	55,709	53,862	34,435	8,561	80.1%	0.716	26,193,724	0
T7-9 原料ショック	MASS	-2,383,038	13,791	29,979	17,007	8,021	68.0%	0.393	3,612,040	916
T7-9 原料ショック	JPQ	31,057,614	48,378	48,951	32,018	7,194	81.7%	0.642	27,152,867	0
T7-9 原料ショック	VAP	22,169,546	43,575	43,525	27,492	6,221	81.5%	0.573	25,349,569	0
T7-9 原料ショック	CONSV	21,139,935	44,624	41,223	23,487	6,566	78.2%	0.550	32,407,938	313
T8-12 再建・消費ブーム	BAL	63,382,817	94,211	94,748	56,089	14,911	79.0%	0.755	47,196,618	0
T8-12 再建・消費ブーム	MASS	-25,881,601	39,764	37,399	12,948	11,273	53.5%	0.294	-3,099,114	3,675
T8-12 再建・消費ブーム	JPQ	65,340,168	85,086	82,615	48,898	12,905	79.1%	0.650	41,368,168	201
T8-12 再建・消費ブーム	VAP	55,405,558	77,042	76,832	44,336	11,483	79.4%	0.604	29,163,997	0
T8-12 再建・消費ブーム	CONSV	49,190,201	76,850	72,489	37,651	11,721	76.3%	0.576	39,519,476	1,229
T13-16 global調達転換	BAL	82,350,150	84,267	86,342	54,316	12,107	81.8%	0.846	50,370,164	0
T13-16 global調達転換	MASS	-27,189,585	13,026	14,343	3,016	3,995	43.0%	0.141	0	997
T13-16 global調達転換	JPQ	70,863,565	75,520	72,228	42,201	10,762	79.7%	0.710	55,391,621	2,169
T13-16 global調達転換	VAP	59,433,785	63,754	61,402	32,490	10,135	76.2%	0.604	48,456,624	725
T13-16 global調達転換	CONSV	66,872,833	71,473	70,755	39,928	10,260	79.6%	0.693	53,679,534	1,948
T17-20 世界需要ショック	BAL	100,498,488	100,298	100,321	65,727	14,566	81.9%	0.982	110,840,391	0
T17-20 世界需要ショック	MASS	-19,445,351	0	1,903	32	3,027	1.0%	0.019	-2,564,897	0
T17-20 世界需要ショック	JPQ	89,920,113	84,672	92,296	57,862	12,915	81.8%	0.907	78,085,818	0
T17-20 世界需要ショック	VAP	67,685,456	64,473	63,704	32,013	10,260	75.7%	0.626	99,321,161	1,494
T17-20 世界需要ショック	CONSV	87,844,822	83,494	89,373	56,417	12,524	81.8%	0.875	82,854,730	0
T22-24 再開ブーム	BAL	84,179,155	81,961	76,604	49,894	11,543	81.2%	0.985	211,257,250	0
T22-24 再開ブーム	MASS	-27,547,437	0	0	0	0	-	0.000	-6,145,764	0
T22-24 再開ブーム	JPQ	78,835,276	79,231	76,351	50,221	11,376	81.5%	1.000	147,272,091	0
T22-24 再開ブーム	VAP	61,088,339	54,892	54,532	32,645	7,830	80.7%	0.715	136,847,490	1,423
T22-24 再開ブーム	CONSV	71,939,890	76,876	75,051	50,351	11,280	81.7%	1.000	140,180,091	0
T25-32 拡大・中国高付加価値化	BAL	270,939,360	227,382	231,145	167,275	32,063	83.9%	0.928	325,638,488	0
T25-32 拡大・中国高付加価値化	MASS	-45,156,000	0	0	0	0	-	0.000	-20,989,321	0
T25-32 拡大・中国高付加価値化	JPQ	232,179,980	223,870	203,620	132,903	30,780	81.2%	0.977	354,157,996	16,258
T25-32 拡大・中国高付加価値化	VAP	220,762,056	185,333	189,757	122,740	27,561	81.7%	0.938	249,700,598	0
T25-32 拡大・中国高付加価値化	CONSV	232,159,834	206,078	203,651	132,916	30,780	81.2%	1.000	338,186,071	0
